dataID,rating
0,3.123558
1,3.893237
2,3.106166
3,2.845443
4,3.339634
5,4.396304
6,3.788329
7,3.289260
8,3.700839
9,2.682015
10,3.406063
11,3.645751
12,3.211563
13,3.283430
14,3.472135
15,2.885858
16,3.944617
17,3.827728
18,3.644278
19,3.708616
20,3.321756
21,3.605651
22,2.374248
23,3.431401
24,3.767493
25,3.370717
26,4.230658
27,3.859986
28,3.157306
29,4.132332
30,3.203041
31,3.771609
32,3.809787
33,2.863431
34,3.430347
35,4.917124
36,4.072948
37,3.364192
38,2.957861
39,3.353991
40,3.812221
41,3.428016
42,3.237451
43,3.233360
44,2.748620
45,3.558302
46,3.737237
47,3.573263
48,3.075795
49,2.950844
50,3.839033
51,3.291259
52,3.596105
53,3.303419
54,3.550766
55,3.924590
56,3.718791
57,2.688764
58,3.583440
59,3.894602
60,4.030991
61,3.948780
62,3.521633
63,3.058053
64,3.740269
65,4.491928
66,3.773652
67,4.087639
68,2.723230
69,3.721196
70,3.360510
71,3.436102
72,2.710611
73,3.842141
74,3.350639
75,3.618735
76,3.720121
77,3.694789
78,3.795946
79,2.965625
80,2.982422
81,3.219308
82,4.348566
83,3.938936
84,3.313526
85,3.844270
86,3.027760
87,3.290904
88,3.198793
89,4.353524
90,4.180624
91,4.341767
92,3.802712
93,3.585121
94,3.877140
95,3.239525
96,3.847336
97,3.640153
98,3.051064
99,3.843953
100,4.185370
101,2.651272
102,2.628765
103,3.749755
104,3.527982
105,3.536900
106,3.616549
107,4.011574
108,3.771908
109,3.189078
110,4.427744
111,4.007046
112,4.441880
113,4.196221
114,4.221565
115,3.200397
116,4.008445
117,3.486488
118,3.625601
119,3.296803
120,3.847290
121,3.757745
122,3.715829
123,4.290079
124,3.808830
125,3.431904
126,3.527089
127,3.994721
128,3.800017
129,3.920805
130,3.275275
131,3.403838
132,3.380585
133,3.904099
134,3.645910
135,2.864810
136,3.247401
137,3.539368
138,3.109206
139,3.669265
140,2.966566
141,3.165261
142,3.454137
143,3.527368
144,3.414705
145,3.350814
146,3.752974
147,3.460469
148,4.710655
149,3.360491
150,3.164759
151,3.607676
152,4.317489
153,3.349894
154,3.888076
155,3.075082
156,4.139328
157,3.453034
158,3.862232
159,4.637320
160,3.139687
161,3.222694
162,3.426669
163,3.686821
164,3.978138
165,3.424976
166,3.602293
167,3.872051
168,3.538273
169,3.496190
170,4.075739
171,3.392596
172,3.405724
173,3.126522
174,4.033578
175,3.920851
176,3.960791
177,3.410781
178,3.798471
179,3.147056
180,2.766114
181,3.540297
182,3.794678
183,3.017012
184,3.718728
185,3.273513
186,3.308347
187,3.687791
188,3.829991
189,3.215897
190,3.410780
191,3.178507
192,3.496351
193,3.149346
194,3.258249
195,3.511000
196,3.476807
197,4.053271
198,3.021488
199,3.137199
200,2.681154
201,3.286824
202,3.554758
203,3.089344
204,3.515628
205,4.372710
206,3.464648
207,3.947209
208,3.955687
209,4.444973
210,3.880493
211,3.649561
212,3.472729
213,3.731340
214,3.385421
215,3.309574
216,2.403691
217,3.725528
218,4.304759
219,3.400849
220,3.548684
221,4.167066
222,3.794966
223,2.920233
224,3.764885
