dataID,rating
0,0.052115
1,3.328401
2,0.285374
3,0.650236
4,0.489723
5,0.695809
6,0.913906
7,0.354672
8,1.780443
9,0.358603
10,0.011418
11,3.628571
12,1.202979
13,0.681725
14,1.017571
15,0.451774
16,1.079578
17,1.031201
18,0.631560
19,0.900926
20,0.263605
21,0.604340
22,3.450000
23,0.176276
24,1.134287
25,0.110765
26,0.616941
27,0.897106
28,3.292945
29,3.908284
30,0.086458
31,1.026124
32,0.212372
33,0.179120
34,0.417816
35,0.007508
36,0.359626
37,0.147036
38,0.325781
39,0.289349
40,0.670660
41,0.451073
42,1.036048
43,0.226987
44,0.150929
45,0.870254
46,1.303185
47,0.756634
48,0.528984
49,0.764069
50,0.890514
51,3.193069
52,0.124978
53,0.438779
54,0.460548
55,3.878788
56,3.428545
57,0.577937
58,3.714286
59,0.972944
60,0.149196
61,0.275948
62,0.426123
63,3.053790
64,3.778689
65,0.101610
66,1.743942
67,1.566672
68,2.965909
69,0.491290
70,0.220948
71,1.013490
72,0.415355
73,1.406903
74,0.540273
75,0.530879
76,0.246079
77,1.389479
78,0.921214
79,0.648769
80,0.155376
81,3.104651
82,0.489590
83,0.875425
84,3.122832
85,2.271411
86,0.235649
87,3.327869
88,1.514043
89,0.107924
90,0.677323
91,1.371467
92,0.013011
93,1.400284
94,0.377644
95,0.044779
96,0.858047
97,0.383016
98,1.201036
99,0.784253
100,3.183432
101,0.633335
102,0.839611
103,0.902844
104,0.604649
105,0.915906
106,0.996876
107,0.037990
108,0.009987
109,0.049792
110,0.942020
111,0.186528
112,0.036173
113,0.111993
114,0.149399
115,3.142857
116,0.067959
117,3.500000
118,3.432432
119,0.077659
120,0.070955
121,0.865327
122,0.709169
123,0.131762
124,1.806768
125,0.038209
126,1.052641
127,0.837063
128,3.722222
129,3.802721
130,0.459553
131,0.673904
132,0.186120
133,3.708025
134,0.379964
135,0.521770
136,0.119432
137,0.250227
138,0.510640
139,3.524691
140,1.598324
141,0.334466
142,0.878682
143,2.150001
144,0.172627
145,0.196939
146,0.256406
147,0.034369
148,0.477537
149,0.031097
150,0.847727
151,0.887271
152,0.777322
153,0.229159
154,3.977273
155,2.195560
156,0.583168
157,1.000846
158,1.456104
159,0.395542
160,0.297066
161,3.148000
162,3.416667
163,2.611008
164,0.721697
165,0.616419
166,0.519012
167,0.209758
168,1.476589
169,0.139481
170,0.117760
171,0.270687
172,1.050494
173,0.043625
174,0.185604
175,0.409304
176,0.018366
177,0.345402
178,0.217900
179,0.029280
180,0.414881
181,0.200800
182,1.768328
183,0.515459
184,0.118537
185,0.635567
186,3.278261
187,1.110937
188,1.783325
189,0.253893
190,0.140993
191,0.009061
