dataID,rating
0,2.965517
1,0.009330
2,3.186170
3,0.079736
4,0.061114
5,0.245093
6,0.126213
7,3.387500
8,3.526882
9,0.229131
10,3.333333
11,0.027999
12,3.193069
13,0.035953
14,3.442748
15,0.020704
16,0.044156
17,0.105271
18,0.114045
19,3.631579
20,0.067123
21,0.337882
22,3.450000
23,0.037119
24,0.057334
25,0.138619
26,0.030999
27,3.791304
28,0.038688
29,0.092353
30,3.137195
31,3.654412
32,0.035311
33,0.054621
34,0.207963
35,4.769231
36,4.007092
37,0.076561
38,0.033103
39,0.003842
40,0.058841
41,0.035081
42,0.253226
43,0.025274
44,0.059477
45,3.278261
46,0.074170
47,0.024312
48,0.131309
49,2.965517
50,3.760417
51,0.063744
52,0.229858
53,3.470588
54,0.141328
55,0.028402
56,0.044368
57,0.086330
58,3.714286
59,3.536765
60,3.894737
61,0.106844
62,0.104166
63,0.024247
64,0.032986
65,0.056522
66,0.042960
67,0.088093
68,2.965909
69,0.337459
70,3.311628
71,0.032096
72,0.292033
73,3.653846
74,0.208751
75,3.628571
76,0.643987
77,3.632479
78,3.812500
79,0.163249
80,0.002369
81,0.041013
82,0.045072
83,3.841270
84,0.044382
85,0.001770
86,0.014322
87,0.055409
88,0.072195
89,0.076891
90,0.101903
91,0.041108
92,0.024419
93,0.069750
94,0.059960
95,0.084866
96,0.016151
97,0.017342
98,0.157835
99,0.086482
100,4.180000
101,2.540323
102,0.003662
103,0.002180
104,3.466667
105,3.514986
106,3.472973
107,0.127253
108,3.543353
109,0.184686
110,4.473684
111,0.078584
112,0.020610
113,4.194444
114,0.005986
115,3.142857
116,0.057650
117,0.025582
118,0.020215
119,3.411765
120,0.142700
121,3.711538
122,0.020014
123,0.023806
124,0.027047
125,0.009165
126,0.027681
127,3.937500
128,0.078410
129,0.078597
130,0.024325
131,3.391304
132,0.041080
133,0.011652
134,0.037899
135,0.157301
136,0.024704
137,3.425926
138,0.131128
139,0.109123
140,2.990385
141,3.029870
142,0.340781
143,0.121668
144,3.423469
145,3.400000
146,3.765101
147,3.133333
148,0.069813
149,3.218750
150,0.056232
151,3.506667
152,0.195885
153,0.065464
154,3.977273
155,0.013543
156,0.018812
157,0.094592
158,3.869110
159,0.207135
160,0.038575
161,0.065024
162,3.416667
163,0.018986
164,0.240748
165,0.037280
166,0.020467
167,0.089096
168,3.566667
169,0.032165
170,0.255045
171,0.361160
172,0.065271
173,0.041991
174,0.099035
175,0.037460
176,0.091301
177,0.057642
178,3.650000
179,0.303117
180,0.076156
181,0.337942
182,0.006195
183,0.077210
184,4.038462
185,0.052401
186,0.104034
187,3.572948
188,0.009941
189,3.233333
190,0.053555
191,0.063502
192,0.011419
193,0.071764
194,0.022508
195,0.078709
196,0.088986
197,0.081988
198,2.760204
199,0.114414
200,0.126723
201,3.213115
202,3.714286
203,3.172414
204,3.309091
205,0.004922
206,0.276342
207,0.017440
208,0.000756
209,0.056015
210,0.058021
211,0.216947
212,3.053790
213,3.738095
214,0.088028
215,0.024209
216,2.571429
217,3.750000
218,4.333333
219,3.500000
220,0.045409
221,0.017830
222,0.125904
223,2.671429
224,0.018686
225,3.106977
226,0.010600
227,0.010688
228,0.030505
229,0.123392
230,3.658228
231,0.139286
232,0.067744
233,0.031066
234,0.050729
235,0.108247
236,0.122968
237,0.199178
238,0.198869
239,0.021974
240,0.040956
241,3.469697
242,2.970085
243,0.077420
244,0.079403
245,0.023934
246,0.071981
